student_id,grade,state_code,state_name,city_tier,subscription_type,gender,age_group,enrollment_cohort,is_jee_aspirant,is_neet_aspirant
STU000001,Grade 12,UP,Uttar Pradesh,Tier 2,Premium,Female,16-18,2023-07,True,True
STU000002,Grade 9,BR,Bihar,Tier 2,Free,Male,14-15,2023-05,False,False
STU000003,Grade 10,TN,Tamil Nadu,Tier 3,Premium,Other,14-15,2023-07,False,False
STU000004,Grade 9,KA,Karnataka,Tier 2,Basic,Male,14-15,2023-12,False,False
STU000005,Grade 10,WB,West Bengal,Tier 2,Free,Male,14-15,2023-09,False,False
STU000006,Grade 11,RJ,Rajasthan,Tier 3,Free,Male,16-18,2023-11,False,False
STU000007,Grade 12,GJ,Gujarat,Tier 2,Free,Female,16-18,2023-01,True,True
STU000008,Grade 9,MP,Madhya Pradesh,Tier 2,Basic,Male,14-15,2023-09,False,False
STU000009,Grade 11,DL,Delhi,Tier 3,Free,Male,16-18,2023-01,True,False
STU000010,Grade 11,MH,Maharashtra,Tier 1,Premium,Female,16-18,2023-07,False,False
STU000011,Grade 9,UP,Uttar Pradesh,Tier 1,Free,Female,14-15,2023-10,False,False
STU000012,Grade 11,BR,Bihar,Tier 3,Basic,Male,16-18,2023-08,True,True
STU000013,Grade 12,TN,Tamil Nadu,Tier 3,Free,Male,16-18,2023-12,True,True
STU000014,Grade 12,KA,Karnataka,Tier 1,Premium,Female,16-18,2023-09,False,False
STU000015,Grade 9,WB,West Bengal,Tier 3,Free,Male,14-15,2023-03,False,False
STU000016,Grade 12,RJ,Rajasthan,Tier 3,Basic,Male,16-18,2023-08,False,False
STU000017,Grade 11,GJ,Gujarat,Tier 2,Premium,Male,16-18,2023-07,True,True
STU000018,Grade 10,MP,Madhya Pradesh,Tier 1,Premium,Female,14-15,2023-04,False,False
STU000019,Grade 11,DL,Delhi,Tier 1,Premium,Male,16-18,2023-01,True,True
STU000020,Grade 12,MH,Maharashtra,Tier 1,Premium,Male,16-18,2023-05,True,False
STU000021,Grade 9,UP,Uttar Pradesh,Tier 3,Free,Female,14-15,2023-08,False,False
STU000022,Grade 9,BR,Bihar,Tier 2,Basic,Male,14-15,2023-08,False,False
STU000023,Grade 11,TN,Tamil Nadu,Tier 1,Basic,Male,16-18,2023-08,True,False
STU000024,Grade 11,KA,Karnataka,Tier 2,Basic,Male,16-18,2023-04,True,True
STU000025,Grade 9,WB,West Bengal,Tier 2,Basic,Male,14-15,2023-03,False,False
STU000026,Grade 9,RJ,Rajasthan,Tier 3,Free,Female,14-15,2023-08,False,False
STU000027,Grade 11,GJ,Gujarat,Tier 1,Free,Female,16-18,2023-06,False,True
STU000028,Grade 12,MP,Madhya Pradesh,Tier 2,Free,Female,16-18,2023-11,False,False
STU000029,Grade 10,DL,Delhi,Tier 1,Premium,Female,14-15,2023-11,False,False
STU000030,Grade 10,MH,Maharashtra,Tier 3,Free,Male,14-15,2023-12,False,False
STU000031,Grade 9,UP,Uttar Pradesh,Tier 1,Premium,Male,14-15,2023-05,False,False
STU000032,Grade 12,BR,Bihar,Tier 3,Basic,Female,16-18,2023-05,False,True
STU000033,Grade 11,TN,Tamil Nadu,Tier 1,Premium,Other,16-18,2023-01,False,False
STU000034,Grade 10,KA,Karnataka,Tier 3,Free,Female,14-15,2023-05,False,False
STU000035,Grade 12,WB,West Bengal,Tier 3,Premium,Male,16-18,2023-04,True,False
STU000036,Grade 9,RJ,Rajasthan,Tier 2,Free,Other,14-15,2023-04,False,False
STU000037,Grade 11,GJ,Gujarat,Tier 2,Free,Female,16-18,2023-06,True,False
STU000038,Grade 12,MP,Madhya Pradesh,Tier 1,Basic,Female,16-18,2023-05,True,False
STU000039,Grade 10,DL,Delhi,Tier 2,Basic,Other,14-15,2023-06,False,False
STU000040,Grade 11,MH,Maharashtra,Tier 2,Premium,Male,16-18,2023-08,False,False
STU000041,Grade 11,UP,Uttar Pradesh,Tier 3,Free,Male,16-18,2023-01,False,True
STU000042,Grade 12,BR,Bihar,Tier 3,Premium,Female,16-18,2023-04,False,True
STU000043,Grade 12,TN,Tamil Nadu,Tier 2,Basic,Male,16-18,2023-04,True,False
STU000044,Grade 11,KA,Karnataka,Tier 2,Free,Female,16-18,2023-08,False,True
STU000045,Grade 10,WB,West Bengal,Tier 1,Premium,Male,14-15,2023-05,False,False
STU000046,Grade 11,RJ,Rajasthan,Tier 3,Basic,Female,16-18,2023-10,False,True
STU000047,Grade 11,GJ,Gujarat,Tier 2,Free,Male,16-18,2023-11,True,False
