student_id,course_id,enrollment_date,subscription_type,fees_paid,completion_pct,total_sessions,total_watch_mins,avg_score_pct,videos_watched,quizzes_attempted,last_active_date,days_enrolled,is_completed,is_active,is_at_risk,drop_week
STU000001,MA03,2023-03-01,Premium,3999,73.3,224,5764,74.2,190,201,2024-02-13,118,False,True,False,12
STU000001,CH02,2023-11-26,Premium,9999,86.1,118,4607,60.2,137,92,2024-08-09,55,True,True,False,0
STU000002,BI01,2023-04-09,Free,0,27.7,26,819,45.6,30,9,2023-06-03,133,False,True,False,6
STU000003,BI01,2023-06-14,Premium,5999,34.9,38,1069,64.9,38,11,2023-12-07,35,False,True,False,6
STU000003,CH01,2023-08-12,Premium,3999,57.6,66,1802,62.7,57,38,2023-12-29,30,False,True,False,12
STU000004,MA01,2023-08-13,Basic,999,50.9,61,2014,63.1,66,19,2024-06-26,285,False,False,False,4
STU000005,CH01,2023-11-07,Free,0,41.6,40,995,27.5,41,23,2024-04-13,11,False,True,False,6
STU000006,PH03,2023-01-19,Free,0,10.2,20,623,30.2,24,6,2024-01-16,51,False,True,False,6
STU000007,CH03,2023-05-17,Free,0,29.5,74,1856,27.7,61,64,2024-02-24,175,False,False,False,12
STU000008,PH01,2023-08-12,Basic,2999,53.2,62,1841,64.2,63,45,2024-07-30,83,False,False,False,2
STU000009,CS03,2023-11-21,Free,0,38.2,37,1366,27.3,38,28,2024-02-23,16,False,True,False,3
STU000009,CS02,2023-06-29,Free,0,43.4,58,1499,36.6,52,32,2023-08-20,90,False,False,False,12
STU000009,MA02,2023-03-04,Free,0,29.3,64,1697,25.8,55,38,2023-08-12,49,False,True,False,8
STU000010,MA03,2023-04-06,Premium,3999,70.3,157,6526,86.5,182,132,2023-06-09,316,False,True,False,1
STU000011,MA01,2023-12-16,Free,0,26.6,37,1018,48.6,34,29,2024-07-11,46,False,False,True,3
STU000012,CH02,2023-07-05,Basic,999,44.7,77,2148,48.8,71,23,2023-12-30,182,False,False,False,3
STU000012,BI03,2023-07-08,Basic,999,54.9,112,4375,46.3,126,43,2024-01-16,112,False,True,False,2
STU000013,CS02,2023-05-09,Free,0,38.7,43,1419,30.9,46,21,2024-03-29,331,False,False,False,3
STU000013,MA02,2023-09-15,Free,0,25.1,48,1215,27.7,47,36,2024-06-30,299,False,False,True,2
STU000013,CH03,2023-12-04,Free,0,23.2,48,1387,37.7,48,19,2024-05-18,303,False,False,False,3
STU000014,CH03,2023-11-25,Premium,9999,49.6,117,4110,99.2,104,68,2024-01-24,274,False,True,False,2
STU000015,BI01,2023-05-17,Free,0,24.8,26,888,28.0,27,16,2023-08-30,18,False,True,False,6
STU000015,MA01,2023-12-08,Free,0,21.2,26,648,30.5,27,11,2024-07-24,168,False,False,True,4
STU000016,MA02,2023-08-22,Basic,1499,28.1,45,1836,52.2,53,23,2024-02-22,62,False,True,False,4
STU000016,BI02,2023-07-27,Basic,2999,68.5,112,3276,50.1,137,37,2023-10-21,337,False,True,False,3
STU000017,CH03,2023-07-04,Premium,5999,36.7,92,2536,94.2,77,28,2024-04-17,349,False,True,False,1
STU000018,MA01,2023-05-17,Premium,5999,61.3,66,2304,70.0,79,27,2024-03-30,357,False,False,False,1
STU000018,CS01,2023-06-13,Premium,5999,99.5,89,2487,96.7,79,78,2023-07-01,211,True,False,False,0
STU000019,PH03,2023-02-24,Premium,3999,90.2,220,7743,84.4,216,184,2023-05-10,214,True,True,False,0
STU000019,PH02,2023-04-01,Premium,9999,47.2,71,2019,100.0,84,46,2023-06-08,230,False,True,False,2
STU000019,BI03,2023-12-19,Premium,9999,42.1,100,3319,87.9,96,80,2024-04-17,327,False,False,False,3
