course_id,week_start_date,city_tier,enrolled_students,active_students,new_enrollments,total_sessions,total_watch_mins,videos_watched,quizzes_submitted,avg_engagement_score,dropouts_this_week
PH01,2023-01-02,Tier 1,1021,533,72,2579,33094,1377,852,101.0,8
PH01,2023-01-02,Tier 2,1012,487,62,1338,52195,904,581,47.0,4
PH01,2023-01-02,Tier 3,752,486,57,2383,49297,1018,805,48.6,5
PH01,2023-01-09,Tier 1,1054,472,49,2185,48820,1781,1201,61.5,13
PH01,2023-01-09,Tier 2,1095,721,36,3470,104124,1825,1309,77.4,9
PH01,2023-01-09,Tier 3,716,314,42,1155,18254,1191,690,60.2,4
PH01,2023-01-16,Tier 1,1242,830,91,2224,62915,2154,1203,57.3,6
PH01,2023-01-16,Tier 2,953,609,50,2273,69474,1284,908,66.6,8
PH01,2023-01-16,Tier 3,727,334,41,1578,49610,876,601,59.7,7
PH01,2023-01-23,Tier 1,1304,579,59,2564,81719,1909,916,101.5,5
PH01,2023-01-23,Tier 2,847,459,22,1816,60162,1564,627,48.8,11
PH01,2023-01-23,Tier 3,740,494,50,2434,32410,1809,1080,50.6,7
PH01,2023-01-30,Tier 1,1265,794,72,3394,55909,2211,1860,54.3,12
PH01,2023-01-30,Tier 2,1048,461,51,1279,28455,806,488,47.0,11
PH01,2023-01-30,Tier 3,832,553,34,2070,42400,1821,738,43.5,3
PH01,2023-02-06,Tier 1,1227,493,54,1616,57446,860,773,52.2,9
PH01,2023-02-06,Tier 2,1181,496,69,1746,55749,1200,866,62.7,15
PH01,2023-02-06,Tier 3,916,616,45,2756,63922,1579,917,61.1,4
PH01,2023-02-13,Tier 1,1434,867,58,3837,94801,2251,1537,73.9,12
PH01,2023-02-13,Tier 2,1265,592,31,2124,35833,1063,1211,57.0,5
PH01,2023-02-13,Tier 3,945,611,61,2686,55582,2058,1155,62.9,8
PH01,2023-02-20,Tier 1,1263,604,56,2688,33548,1274,1254,77.9,12
PH01,2023-02-20,Tier 2,1057,658,57,2594,81441,2219,1000,72.6,10
PH01,2023-02-20,Tier 3,872,569,36,1829,84885,1104,625,62.5,10
PH01,2023-02-27,Tier 1,1420,808,89,3630,62158,2792,1775,75.4,15
PH01,2023-02-27,Tier 2,973,597,70,1648,33879,1384,731,51.1,4
PH01,2023-02-27,Tier 3,931,528,24,1692,43889,1968,698,34.9,4
PH01,2023-03-06,Tier 1,1540,899,97,2752,62640,1688,965,83.9,12
PH01,2023-03-06,Tier 2,1299,532,30,1543,40034,894,854,45.9,7
PH01,2023-03-06,Tier 3,795,379,24,1781,25050,692,837,30.9,7
PH01,2023-03-13,Tier 1,1444,618,56,1699,83369,1428,557,98.3,8
PH01,2023-03-13,Tier 2,1035,420,55,1630,28376,1083,730,48.1,11
PH01,2023-03-13,Tier 3,927,580,63,1519,80959,1120,522,32.3,12
PH01,2023-03-20,Tier 1,1248,811,78,3496,112895,2004,1976,59.4,4
PH01,2023-03-20,Tier 2,1080,609,83,2639,65094,1968,1430,68.6,5
PH01,2023-03-20,Tier 3,926,631,26,2104,51696,1828,1127,37.1,6
PH01,2023-03-27,Tier 1,1223,794,96,3747,110888,2240,2217,53.1,5
PH01,2023-03-27,Tier 2,1297,652,103,3005,53453,2120,1763,49.5,9
PH01,2023-03-27,Tier 3,879,367,27,1722,17400,1201,911,32.3,7
PH01,2023-04-03,Tier 1,1350,546,58,2280,38304,1251,1249,99.1,18
PH01,2023-04-03,Tier 2,1223,646,59,1635,61134,1760,870,42.4,17
PH01,2023-04-03,Tier 3,954,567,46,2587,40655,1798,1116,52.6,5
