state_code,district_code,report_date,financial_year,month_num,job_cards_issued,active_job_cards,households_demanded,households_employed,households_100days,person_days_total,person_days_sc,person_days_st,person_days_women,person_days_pwd,avg_days_per_hh
RJ,RJ_D01,2019-04-01,FY2020,4,70883,60945,47560,40062,7259,1401758,283113,176715,788466,14594,35.0
RJ,RJ_D02,2019-04-01,FY2020,4,71526,62575,39067,33000,6160,1340593,243298,155397,720533,29810,40.6
RJ,RJ_D03,2019-04-01,FY2020,4,43726,34710,23830,20731,6365,792558,143337,99501,414339,17555,38.2
RJ,RJ_D04,2019-04-01,FY2020,4,44765,34010,31351,28743,8958,1167901,182029,153058,638151,14529,40.6
RJ,RJ_D05,2019-04-01,FY2020,4,55633,42011,38056,32416,9157,1322410,239626,162395,702320,38867,40.8
RJ,RJ_D01,2019-05-01,FY2020,5,65005,57914,54197,47856,16001,1775750,287243,164636,958052,31561,37.1
RJ,RJ_D02,2019-05-01,FY2020,5,48140,42089,29876,25509,6595,978372,193846,92429,566685,24894,38.4
RJ,RJ_D03,2019-05-01,FY2020,5,45708,34318,30971,27658,8181,1475726,227915,164555,777636,40231,53.4
RJ,RJ_D04,2019-05-01,FY2020,5,59922,47915,28111,24080,5178,1260940,237376,180607,691414,15625,52.4
RJ,RJ_D05,2019-05-01,FY2020,5,62933,54381,43272,38898,9676,1845361,324142,168896,971533,19613,47.4
RJ,RJ_D01,2019-06-01,FY2020,6,60361,48116,35797,32628,6520,1404749,274393,145711,736957,22188,43.1
RJ,RJ_D02,2019-06-01,FY2020,6,44453,39538,34199,30309,9828,1577749,254323,226491,871486,41256,52.1
RJ,RJ_D03,2019-06-01,FY2020,6,69054,55084,32114,27263,6418,1428138,287975,129128,786396,26203,52.4
RJ,RJ_D04,2019-06-01,FY2020,6,46492,35704,24097,22042,4731,1003678,192887,112229,580433,29356,45.5
RJ,RJ_D05,2019-06-01,FY2020,6,47485,39155,25846,22077,3474,1051142,189374,97849,564167,29605,47.6
RJ,RJ_D01,2019-07-01,FY2020,7,47076,36330,23839,21900,4345,957283,187337,99804,539613,16614,43.7
RJ,RJ_D02,2019-07-01,FY2020,7,60224,50891,34243,28637,9079,1046508,168687,96746,581286,24646,36.5
RJ,RJ_D03,2019-07-01,FY2020,7,39611,32750,18390,16318,3016,719544,124627,105200,380100,12103,44.1
RJ,RJ_D04,2019-07-01,FY2020,7,42855,38085,30309,25815,7279,1204820,220858,146721,643989,14291,46.7
RJ,RJ_D05,2019-07-01,FY2020,7,69092,61150,43289,37193,8176,1666599,339697,238698,944615,38066,44.8
RJ,RJ_D01,2019-08-01,FY2020,8,41873,32419,21706,19183,2912,512665,97308,46295,271532,10752,26.7
RJ,RJ_D02,2019-08-01,FY2020,8,62219,52748,24648,22023,4348,672401,130976,86724,383909,15567,30.5
RJ,RJ_D03,2019-08-01,FY2020,8,58081,44376,22645,19302,3837,801827,139185,115080,447313,20764,41.5
RJ,RJ_D04,2019-08-01,FY2020,8,55883,46748,25606,21661,6378,644915,97678,83018,342209,18579,29.8
RJ,RJ_D05,2019-08-01,FY2020,8,70991,62985,32188,26697,8961,861755,179244,127382,492217,13692,32.3
RJ,RJ_D01,2019-09-01,FY2020,9,51948,45593,18057,15232,3981,498569,95606,61924,262162,11118,32.7
RJ,RJ_D02,2019-09-01,FY2020,9,72200,55667,24738,22479,6702,662667,127330,73933,356260,17353,29.5
RJ,RJ_D03,2019-09-01,FY2020,9,66176,58238,31400,27476,6877,847821,160236,112012,481348,23569,30.9
RJ,RJ_D04,2019-09-01,FY2020,9,50371,40616,13913,12260,1927,322831,58935,34605,179316,3425,26.3
RJ,RJ_D05,2019-09-01,FY2020,9,40306,35202,14307,12013,3056,366059,59649,46626,192225,4038,30.5
RJ,RJ_D01,2019-10-01,FY2020,10,56844,47242,18255,16334,5638,360595,61076,49657,193369,6771,22.1
RJ,RJ_D02,2019-10-01,FY2020,10,41682,31420,14144,12799,3701,267289,42872,26564,143003,5608,20.9
RJ,RJ_D03,2019-10-01,FY2020,10,62979,53471,16914,15490,4609,348512,65068,40140,186406,5966,22.5
RJ,RJ_D04,2019-10-01,FY2020,10,64426,48458,13771,11460,1812,296181,56931,35082,155752,5873,25.8
RJ,RJ_D05,2019-10-01,FY2020,10,54906,42605,14762,12764,3486,298630,45606,33588,166501,5991,23.4
RJ,RJ_D01,2019-11-01,FY2020,11,67729,57488,15483,12920,3598,197293,36528,28886,109404,3504,15.3
RJ,RJ_D02,2019-11-01,FY2020,11,60591,49608,16777,15344,3486,380594,77763,38724,199492,4573,24.8
RJ,RJ_D03,2019-11-01,FY2020,11,39666,30311,11001,9180,1962,216810,32824,30107,116407,2680,23.6
RJ,RJ_D04,2019-11-01,FY2020,11,62381,52670,20959,18771,5832,335564,53907,45313,190737,10003,17.9
