state_code,district_code,report_date,financial_year,month_num,workers_paid,total_wages_lakhs,wages_within_15days_lakhs,pending_wages_lakhs,avg_wage_rate,notified_wage_rate
RJ,RJ_D01,2019-04-01,FY2020,4,7036,586.51,389.6,30.94,258.29,255.0
RJ,RJ_D02,2019-04-01,FY2020,4,12555,689.35,586.49,128.36,242.5,255.0
RJ,RJ_D03,2019-04-01,FY2020,4,23601,1568.11,1321.5,95.21,240.43,255.0
RJ,RJ_D04,2019-04-01,FY2020,4,16521,1165.37,856.5,211.34,237.05,255.0
RJ,RJ_D05,2019-04-01,FY2020,4,13002,842.98,515.18,118.06,237.31,255.0
RJ,RJ_D01,2019-05-01,FY2020,5,24011,1902.68,1669.71,369.01,258.01,255.0
RJ,RJ_D02,2019-05-01,FY2020,5,14318,1013.42,916.25,142.06,241.48,255.0
RJ,RJ_D03,2019-05-01,FY2020,5,20716,1624.11,1048.46,272.98,258.94,255.0
RJ,RJ_D04,2019-05-01,FY2020,5,21726,1251.14,897.98,94.57,248.29,255.0
RJ,RJ_D05,2019-05-01,FY2020,5,14550,1068.12,671.49,199.28,237.89,255.0
RJ,RJ_D01,2019-06-01,FY2020,6,17852,918.42,712.9,107.7,242.09,255.0
RJ,RJ_D02,2019-06-01,FY2020,6,11964,998.7,701.29,71.14,255.95,255.0
RJ,RJ_D03,2019-06-01,FY2020,6,13236,1073.05,947.55,100.13,250.04,255.0
RJ,RJ_D04,2019-06-01,FY2020,6,24485,1902.8,1367.94,329.64,255.78,255.0
RJ,RJ_D05,2019-06-01,FY2020,6,10140,819.33,466.62,41.97,258.29,255.0
RJ,RJ_D01,2019-07-01,FY2020,7,9316,664.19,568.02,54.25,255.53,255.0
RJ,RJ_D02,2019-07-01,FY2020,7,9020,765.33,517.52,69.92,254.32,255.0
RJ,RJ_D03,2019-07-01,FY2020,7,23380,1951.53,1087.79,227.93,244.18,255.0
RJ,RJ_D04,2019-07-01,FY2020,7,17304,1384.29,1216.38,76.35,257.78,255.0
RJ,RJ_D05,2019-07-01,FY2020,7,22943,1819.77,1408.41,290.33,253.41,255.0
RJ,RJ_D01,2019-08-01,FY2020,8,8527,724.92,584.91,87.57,248.51,255.0
RJ,RJ_D02,2019-08-01,FY2020,8,12304,1069.25,969.55,162.61,256.96,255.0
RJ,RJ_D03,2019-08-01,FY2020,8,14693,1123.66,755.31,82.54,255.91,255.0
RJ,RJ_D04,2019-08-01,FY2020,8,6323,492.81,354.16,26.81,256.03,255.0
RJ,RJ_D05,2019-08-01,FY2020,8,21583,1512.92,1075.91,146.83,253.19,255.0
RJ,RJ_D01,2019-09-01,FY2020,9,7133,377.44,341.43,38.13,254.92,255.0
RJ,RJ_D02,2019-09-01,FY2020,9,6627,477.41,297.91,79.84,247.62,255.0
RJ,RJ_D03,2019-09-01,FY2020,9,8932,710.94,555.44,119.34,242.96,255.0
RJ,RJ_D04,2019-09-01,FY2020,9,5887,426.82,388.25,47.93,252.33,255.0
RJ,RJ_D05,2019-09-01,FY2020,9,8480,628.33,416.82,59.5,252.93,255.0
RJ,RJ_D01,2019-10-01,FY2020,10,16274,1313.56,811.41,103.87,236.43,255.0
RJ,RJ_D02,2019-10-01,FY2020,10,21679,1270.95,926.76,226.77,239.68,255.0
RJ,RJ_D03,2019-10-01,FY2020,10,16271,1285.94,823.15,230.22,245.78,255.0
RJ,RJ_D04,2019-10-01,FY2020,10,19627,1625.78,1408.27,160.73,237.61,255.0
RJ,RJ_D05,2019-10-01,FY2020,10,5929,390.87,353.28,45.57,250.37,255.0
RJ,RJ_D01,2019-11-01,FY2020,11,5717,399.19,328.94,56.4,244.49,255.0
RJ,RJ_D02,2019-11-01,FY2020,11,5757,442.95,346.08,57.97,237.88,255.0
RJ,RJ_D03,2019-11-01,FY2020,11,16867,1076.08,689.85,175.55,246.92,255.0
RJ,RJ_D04,2019-11-01,FY2020,11,12966,766.61,598.58,129.0,241.93,255.0
RJ,RJ_D05,2019-11-01,FY2020,11,22721,1894.71,1737.18,162.26,254.3,255.0
RJ,RJ_D01,2019-12-01,FY2020,12,9327,521.9,394.62,100.15,241.86,255.0
RJ,RJ_D02,2019-12-01,FY2020,12,22633,1412.8,1261.05,127.87,250.07,255.0
RJ,RJ_D03,2019-12-01,FY2020,12,9806,794.89,550.73,40.78,240.92,255.0
RJ,RJ_D04,2019-12-01,FY2020,12,13034,1034.4,600.01,162.47,250.01,255.0
RJ,RJ_D05,2019-12-01,FY2020,12,13155,1025.47,642.58,200.69,236.3,255.0
RJ,RJ_D01,2020-01-01,FY2020,1,8888,551.46,333.69,102.36,244.44,255.0
RJ,RJ_D02,2020-01-01,FY2020,1,9166,670.33,485.31,89.54,248.08,255.0
RJ,RJ_D03,2020-01-01,FY2020,1,13962,1225.17,948.12,145.31,251.62,255.0
RJ,RJ_D04,2020-01-01,FY2020,1,21441,1393.43,1114.31,112.89,245.16,255.0
RJ,RJ_D05,2020-01-01,FY2020,1,22892,1877.02,1119.5,311.62,256.99,255.0
RJ,RJ_D01,2020-02-01,FY2020,2,7317,527.6,419.26,48.59,254.44,255.0
RJ,RJ_D02,2020-02-01,FY2020,2,8814,502.63,299.94,88.75,247.54,255.0
RJ,RJ_D03,2020-02-01,FY2020,2,23615,2052.57,1877.65,320.04,259.58,255.0
RJ,RJ_D04,2020-02-01,FY2020,2,11489,803.9,535.4,103.37,246.23,255.0
RJ,RJ_D05,2020-02-01,FY2020,2,23760,2091.97,1534.23,270.82,252.76,255.0
RJ,RJ_D01,2020-03-01,FY2020,3,10993,634.02,566.1,105.27,247.95,255.0
RJ,RJ_D02,2020-03-01,FY2020,3,14886,958.38,637.9,171.99,255.3,255.0
RJ,RJ_D03,2020-03-01,FY2020,3,16657,891.78,790.51,164.81,234.83,255.0
RJ,RJ_D04,2020-03-01,FY2020,3,11058,925.15,845.05,74.71,247.28,255.0
RJ,RJ_D05,2020-03-01,FY2020,3,7650,502.4,426.53,83.49,243.61,255.0
RJ,RJ_D01,2020-04-01,FY2021,4,7983,560.6,312.28,47.92,264.18,262.65
RJ,RJ_D02,2020-04-01,FY2021,4,5786,407.15,367.98,71.51,243.96,262.65
RJ,RJ_D03,2020-04-01,FY2021,4,18105,1484.88,1206.91,197.27,248.46,262.65
RJ,RJ_D04,2020-04-01,FY2021,4,13914,1035.95,810.23,62.0,263.21,262.65
RJ,RJ_D05,2020-04-01,FY2021,4,4972,364.41,263.18,69.13,246.48,262.65
RJ,RJ_D01,2020-05-01,FY2021,5,13399,1054.3,963.54,142.05,260.34,262.65
RJ,RJ_D02,2020-05-01,FY2021,5,7358,389.42,264.03,55.65,242.29,262.65
RJ,RJ_D03,2020-05-01,FY2021,5,7782,554.22,421.03,71.31,246.96,262.65
RJ,RJ_D04,2020-05-01,FY2021,5,14569,997.6,644.19,127.66,258.03,262.65
RJ,RJ_D05,2020-05-01,FY2021,5,9502,655.32,443.14,119.31,249.99,262.65
RJ,RJ_D01,2020-06-01,FY2021,6,4877,369.46,226.76,50.97,260.87,262.65
RJ,RJ_D02,2020-06-01,FY2021,6,14819,1173.83,823.1,166.19,246.21,262.65
RJ,RJ_D03,2020-06-01,FY2021,6,20897,1138.27,933.2,168.27,265.36,262.65
RJ,RJ_D04,2020-06-01,FY2021,6,10755,879.16,663.07,142.55,261.62,262.65
RJ,RJ_D05,2020-06-01,FY2021,6,8934,580.1,353.95,82.17,243.88,262.65
RJ,RJ_D01,2020-07-01,FY2021,7,21010,1348.71,811.52,228.12,259.15,262.65
