user_id,signup_date,age_group,gender,region,device_preference,loyalty_tier,is_new_user
USR000001,2025-03-13,25-34,Female,East,Mobile,Bronze,False
USR000002,2024-10-29,55+,Female,East,Desktop,Silver,True
USR000003,2024-10-07,35-44,Male,South,Tablet,Bronze,True
USR000004,2024-12-10,35-44,Female,East,Desktop,Silver,False
USR000005,2024-12-02,18-24,Male,South,Tablet,Bronze,False
USR000006,2024-11-27,18-24,Female,West,App,Bronze,False
USR000007,2024-11-05,18-24,Male,West,App,Silver,True
USR000008,2024-10-27,45-54,Female,West,Mobile,Gold,False
USR000009,2025-03-23,35-44,Male,South,Desktop,Silver,True
USR000010,2025-02-17,35-44,Male,East,Desktop,Bronze,True
USR000011,2024-10-23,18-24,Other,North,Desktop,Bronze,True
USR000012,2025-03-01,55+,Male,Central,Mobile,Bronze,False
USR000013,2025-01-17,45-54,Female,South,Desktop,Bronze,False
USR000014,2024-10-09,25-34,Female,East,Mobile,Bronze,False
USR000015,2024-10-08,25-34,Male,North,App,Bronze,False
USR000016,2024-10-24,25-34,Female,West,Mobile,Silver,False
USR000017,2024-11-25,25-34,Male,East,Desktop,Gold,False
USR000018,2024-11-29,35-44,Female,South,Mobile,Gold,False
USR000019,2025-02-07,25-34,Female,East,Desktop,Bronze,False
USR000020,2025-03-04,25-34,Male,North,Mobile,Bronze,True
USR000021,2024-10-07,35-44,Male,West,Mobile,Gold,True
USR000022,2025-02-21,18-24,Female,South,App,Silver,False
USR000023,2024-11-20,25-34,Female,West,Desktop,Platinum,True
USR000024,2025-03-16,25-34,Female,Central,Mobile,Silver,True
USR000025,2025-03-29,25-34,Male,North,Desktop,Bronze,True
USR000026,2025-02-17,45-54,Female,South,Mobile,Bronze,True
USR000027,2025-01-16,25-34,Male,North,Mobile,Platinum,False
USR000028,2024-11-26,35-44,Female,Central,Tablet,Bronze,False
USR000029,2025-01-23,35-44,Male,South,App,Bronze,True
USR000030,2025-02-28,18-24,Male,North,App,Bronze,False
USR000031,2024-12-11,35-44,Female,West,Tablet,Silver,False
USR000032,2024-10-02,18-24,Male,East,Desktop,Silver,False
USR000033,2024-11-10,18-24,Female,West,Mobile,Gold,True
USR000034,2025-03-28,55+,Female,West,Mobile,Silver,False
USR000035,2025-01-17,55+,Female,Central,Mobile,Silver,False
USR000036,2024-12-27,45-54,Male,North,Mobile,Gold,True
USR000037,2024-12-11,25-34,Male,North,Mobile,Silver,False
USR000038,2024-11-09,18-24,Female,Central,Desktop,Silver,False
USR000039,2024-11-25,35-44,Male,Central,Mobile,Platinum,False
USR000040,2024-12-26,25-34,Female,South,Mobile,Silver,True
USR000041,2024-10-27,18-24,Female,East,Mobile,Silver,False
USR000042,2024-10-24,25-34,Female,South,Mobile,Bronze,True
USR000043,2025-01-06,18-24,Male,West,Tablet,Silver,False
USR000044,2024-10-25,55+,Female,West,Mobile,Bronze,False
USR000045,2024-12-31,25-34,Female,South,Desktop,Gold,False
